فارسی,english
حق فني دو قلم,HAGH FANI 2 GHALAM
حق فني سه قلم وبيشتر,HAGH FANI 3 ghalam va bishtar
فروفورت دئودنال کپسول,ferrofort duodenal
الارتريت,elartrit
سيمبيکورت اسپري اينهالر 160/4.5 ميکروگرم,symbicort 160/4.5 inhalation powder ( budesonide + formoter
سولوکرتف ويال100هيدروکرتيزون وريدي,SOLU-CORTEF® 100 MG 8ML   -INJECTIO
سيمبيکورت اسپري اينهالر 320/9 ميکروگرم,symbicort inhalation powder 320/9 (budesonide + formoterol)
آونکس 30 سرنگ,AVONEX® 30MCG SYRINGE INJECTION
آيوهگزال 50ML 240MG ويال,IOHEXOL 240MG I/ML 50ML VIAL INJECTION
پانوکسيل لوسيون10%,BENZOYL PEROXIDE 10% LOTION
بتامتازون  لوسيون,BETAMETHASONE VALERATE 0.1% LOTION
آب داليبور120سي سي(کيمياگر,EUDALIBOUR 120 CC KIMIAGAR
اوستيون آرايکس بون قرص (نيچرزپلاس,NATURE'S PLUS OSTIVONE TAB
کالامين لوسيون,CALAMINE 8% 60 ML LOTION
ام سي تي اويل سيمرغ دارو,MCT OIL
هگزوداين 12%300 سي سي آبي,CHLORHEXIDINE 12% SOLUTION
باريج سي ام افشره باريج,C M  DROP
کلوتريمازول (به کد1183ثبت شد,CLOTRIMAZOLE
ستريميدسي ساولن 0 25(شهردارو,CETRIMIDE-C [SHAHRDAROU] 3.8L SOLUT
توسيوين افشره باريج,TUSSIVIN DROP
اکاليپتوس محلول,EUCALYPTUS<GOLDAROU> 60ML SOL FOR INHALATION
فلورايد دهان شويه بهسا,SODIUM FLUORIDE 0.2% MOUTH WASH
تربينافين لوسيون,TERBINAFINE 1% SOL
ريوانول 100سي سي,RIVANOL 0/5%-1% BULK 100 CC
ملادنين  محلول خارجي (متوکسالن,MELADENIN (METHOXSALEN 1% TOP SOLUT
روگن فوم,ROGAINE FOAM
ناکلنز قطره لنز ديسوپ,NACLENS COMFORT DROPS
بتادين 60سي سي(پويدون آيدان,POVIDONE IODINE 10% 60ML  -SOLUTION
نانوسيل ضدعفوني دست (فوم,NANOSIL INSTANT HAND SANITIZER
ليندان 60م محلول (بهوزان,LINDANE (GAMMA BENZENE HEXACHLORIDE 1% LOTIO
متوکسالن محلول ايراني,METHOXSALEN 1% TOP SOLUTION
ورمال (ميخچه) محلول,VERRUMAL DROP
کلوتريزون(کلوتريمازول+بتامتازون محلول),CLOTORISON( CLOTRIMAZOLE+BETAMETHASONE DROP
